gen	nevals	avg                            	std                            	min                	max                
205	185   	[  0.90468333 744.4       ]    	[5.76525488e-02 6.29442081e+01]	[  0.68 540.  ]    	[  0.97 915.  ]    
206	178   	[  0.90578333 740.93333333]    	[5.86242531e-02 6.26362160e+01]	[  0.72 575.  ]    	[  0.97 895.  ]    
207	177   	[  0.90576667 738.7       ]    	[5.86607099e-02 6.16520613e+01]	[  0.695 525.   ]  	[  0.97 895.  ]    
208	184   	[  0.90955    740.26666667]    	[6.15511779e-02 6.34410137e+01]	[  0.605 525.   ]  	[  0.97 870.  ]    
209	184   	[  0.90501667 742.48333333]    	[ 0.06095285 58.7870427 ]      	[  0.685 535.   ]  	[  0.97 910.  ]    
210	169   	[  0.91238333 744.28333333]    	[5.51987595e-02 6.00796948e+01]	[  0.715 540.   ]  	[  0.97 880.  ]    
211	148   	[  0.919 747.1  ]              	[5.21791785e-02 5.50068784e+01]	[  0.72 540.  ]    	[  0.97 880.  ]    
212	166   	[  0.91798333 745.26666667]    	[5.26356950e-02 5.50463037e+01]	[  0.74 550.  ]    	[  0.97 880.  ]    
213	174   	[  0.91716667 739.7       ]    	[ 0.05873505 55.90834762]      	[  0.7 530. ]      	[  0.97 860.  ]    
214	168   	[  0.91621667 732.41666667]    	[5.72314283e-02 5.97319824e+01]	[  0.665 495.   ]  	[  0.97 875.  ]    
215	172   	[  0.91326667 730.3       ]    	[ 0.06141522 52.39506974]      	[  0.685 540.   ]  	[  0.97 835.  ]    
216	148   	[  0.91385    731.33333333]    	[ 0.06024058 55.3177689 ]      	[  0.665 530.   ]  	[  0.97 860.  ]    
217	186   	[  0.91493333 733.91666667]    	[ 0.05916921 53.90649054]      	[  0.665 530.   ]  	[  0.97 835.  ]    
218	182   	[  0.9136     730.03333333]    	[ 0.05822262 56.65391033]      	[  0.72 525.  ]    	[  0.97 855.  ]    
219	155   	[  0.91553333 732.01666667]    	[ 0.05720037 56.24514547]      	[  0.695 550.   ]  	[  0.97 880.  ]    
220	181   	[  0.91068333 731.18333333]    	[ 0.05530024 54.30791583]      	[  0.755 510.   ]  	[  0.97 890.  ]    
221	181   	[  0.90958333 731.8       ]    	[ 0.06195356 53.29721694]      	[  0.715 550.   ]  	[  0.97 890.  ]    
222	169   	[  0.91888333 732.88333333]    	[ 0.05983173 52.3873686 ]      	[  0.63 520.  ]    	[  0.97 890.  ]    
223	174   	[  0.91946667 729.85      ]    	[ 0.05505799 50.16865721]      	[  0.74 585.  ]    	[  0.97 890.  ]    
224	191   	[  0.91643333 728.41666667]    	[ 0.06009669 52.49993386]      	[  0.725 540.   ]  	[  0.97 845.  ]    
225	184   	[  0.91418333 725.9       ]    	[ 0.05974459 56.34586646]      	[  0.715 530.   ]  	[  0.97 845.  ]    
226	169   	[  0.91701667 730.28333333]    	[ 0.05857203 54.70072872]      	[  0.71 535.  ]    	[  0.97 850.  ]    
227	178   	[  0.91458333 729.55      ]    	[ 0.05684989 51.85441961]      	[  0.755 560.   ]  	[  0.97 860.  ]    
228	167   	[  0.91361667 724.26666667]    	[ 0.05915378 53.87605116]      	[  0.715 560.   ]  	[  0.97 845.  ]    
229	175   	[  0.91085    726.03333333]    	[ 0.06205396 54.46649327]      	[  0.705 555.   ]  	[  0.97 845.  ]    
230	182   	[  0.91096667 720.3       ]    	[ 0.06117106 54.52134139]      	[  0.67 520.  ]    	[  0.97 855.  ]    
231	169   	[  0.91305    720.53333333]    	[ 0.05762332 51.48348171]      	[  0.715 565.   ]  	[  0.97 845.  ]    
232	169   	[  0.90856667 719.93333333]    	[ 0.06130888 55.09684403]      	[  0.68 545.  ]    	[  0.97 900.  ]    
233	181   	[  0.90985    719.43333333]    	[ 0.05973743 56.56865053]      	[  0.65 530.  ]    	[  0.97 880.  ]    
234	178   	[  0.91083333 722.18333333]    	[ 0.06071221 54.41032122]      	[  0.625 535.   ]  	[  0.97 845.  ]    
235	168   	[  0.91708333 729.68333333]    	[ 0.05622345 48.33545685]      	[  0.71 570.  ]    	[  0.97 875.  ]    
236	188   	[  0.91421667 722.9       ]    	[ 0.05591186 49.44616601]      	[  0.68 545.  ]    	[  0.97 845.  ]    
237	190   	[  0.91581667 720.65      ]    	[ 0.05665759 52.67346739]      	[  0.71 570.  ]    	[  0.97 845.  ]    
238	169   	[  0.9131 720.2   ]            	[ 0.0589086  52.79166601]      	[  0.7 550. ]      	[  0.97 845.  ]    
239	159   	[  0.91488333 717.81666667]    	[ 0.06067319 52.98883268]      	[  0.645 540.   ]  	[  0.97 850.  ]    
240	159   	[  0.91613333 724.45      ]    	[ 0.06304535 50.40450542]      	[  0.675 565.   ]  	[  0.97 855.  ]    
241	191   	[  0.91915 718.05   ]          	[ 0.05607163 47.41428231]      	[  0.7 555. ]      	[  0.97 850.  ]    
242	179   	[  0.9152 716.3   ]            	[ 0.0543166  50.78034397]      	[  0.74 585.  ]    	[  0.97 860.  ]    
243	176   	[  0.91465    713.98333333]    	[ 0.05908858 53.90160532]      	[  0.73 555.  ]    	[  0.97 860.  ]    
244	185   	[  0.91403333 714.5       ]    	[ 0.05796751 53.63534283]      	[  0.695 450.   ]  	[  0.97 915.  ]    
245	173   	[  0.91471667 717.05      ]    	[ 0.05953573 56.02274092]      	[  0.685 550.   ]  	[  0.97 915.  ]    
246	175   	[  0.91041667 716.93333333]    	[ 0.05954334 55.618602  ]      	[  0.705 565.   ]  	[  0.97 925.  ]    
247	171   	[  0.91255 715.85   ]          	[ 0.06044486 52.80335374]      	[  0.695 540.   ]  	[  0.97 925.  ]    
248	181   	[  0.91126667 707.08333333]    	[ 0.06063191 49.15020911]      	[  0.635 545.   ]  	[  0.97 900.  ]    
249	169   	[  0.91383333 709.46666667]    	[ 0.06136752 53.39209263]      	[  0.71 515.  ]    	[  0.97 900.  ]    
250	176   	[  0.91336667 706.68333333]    	[ 0.05548122 53.56848939]      	[  0.725 535.   ]  	[  0.97 900.  ]    
251	163   	[  0.90628333 700.98333333]    	[ 0.06118908 50.32510694]      	[  0.7 550. ]      	[  0.97 885.  ]    
252	168   	[  0.90453333 693.95      ]    	[ 0.06153954 50.47257506]      	[  0.715 510.   ]  	[  0.97 830.  ]    
253	163   	[  0.9051 693.75  ]            	[ 0.06340471 47.06754898]      	[  0.69 520.  ]    	[  0.97 840.  ]    
254	159   	[  0.90803333 690.28333333]    	[ 0.06390852 51.088189  ]      	[  0.745 515.   ]  	[  0.97 820.  ]    
255	156   	[  0.91483333 696.15      ]    	[ 0.06087807 43.02046993]      	[  0.705 525.   ]  	[  0.97 810.  ]    
256	180   	[  0.91198333 692.1       ]    	[ 0.06715393 48.98390892]      	[  0.63 510.  ]    	[  0.97 865.  ]    
257	157   	[  0.91383333 692.5       ]    	[ 0.06254176 49.99083249]      	[  0.68 470.  ]    	[  0.97 815.  ]    
258	168   	[  0.91045    693.13333333]    	[ 0.06369757 52.29578271]      	[  0.625 545.   ]  	[  0.97 880.  ]    
259	160   	[  0.91513333 695.48333333]    	[ 0.06126567 43.14336244]      	[  0.7 545. ]      	[  0.97 880.  ]    
260	173   	[  0.91561667 694.43333333]    	[ 0.05816244 44.26261277]      	[  0.675 515.   ]  	[  0.97 815.  ]    
261	145   	[  0.91221667 694.31666667]    	[ 0.06227763 45.08824373]      	[  0.695 525.   ]  	[  0.97 795.  ]    
262	187   	[  0.91323333 694.2       ]    	[ 0.06267678 45.66574208]      	[  0.64 505.  ]    	[  0.97 815.  ]    
263	183   	[  0.90915    689.28333333]    	[ 0.05937054 48.99050645]      	[  0.685 505.   ]  	[  0.97 815.  ]    
264	174   	[  0.90818333 689.        ]    	[ 0.05917446 44.7921124 ]      	[  0.745 520.   ]  	[  0.97 790.  ]    
265	162   	[  0.90381667 682.51666667]    	[ 0.06601654 48.43121984]      	[  0.58 515.  ]    	[  0.97 810.  ]    
266	174   	[  0.9117     687.58333333]    	[ 0.0623801  44.89517111]      	[  0.73 530.  ]    	[  0.97 805.  ]    
267	181   	[  0.90935    686.38333333]    	[ 0.06579383 49.12232746]      	[  0.675 505.   ]  	[  0.97 805.  ]    
268	177   	[  0.91063333 684.65      ]    	[ 0.06095435 47.51098996]      	[  0.7 520. ]      	[  0.97 805.  ]    
269	155   	[  0.91121667 690.4       ]    	[ 0.06466532 46.23858418]      	[  0.675 475.   ]  	[  0.97 800.  ]    
270	180   	[  0.90943333 687.93333333]    	[ 0.06344167 46.3346043 ]      	[  0.705 530.   ]  	[  0.97 790.  ]    
271	163   	[  0.90961667 686.11666667]    	[ 0.06186628 48.09369039]      	[  0.72 520.  ]    	[  0.97 795.  ]    
272	175   	[  0.90331667 682.83333333]    	[ 0.06644233 51.11887018]      	[  0.615 460.   ]  	[  0.97 805.  ]    
273	171   	[  0.90775    685.31666667]    	[ 0.06372745 50.67855946]      	[  0.68 475.  ]    	[  0.97 800.  ]    
274	180   	[  0.90358333 682.53333333]    	[ 0.06436544 50.36283903]      	[  0.64 505.  ]    	[  0.97 815.  ]    
275	169   	[  0.9089     686.21666667]    	[ 0.05902929 44.5002216 ]      	[  0.715 555.   ]  	[  0.97 830.  ]    
276	181   	[  0.90605    680.88333333]    	[ 0.06161153 46.90561149]      	[  0.725 490.   ]  	[  0.97 820.  ]    
277	182   	[  0.90566667 683.41666667]    	[ 0.06145775 50.84200746]      	[  0.645 515.   ]  	[  0.97 820.  ]    
278	167   	[  0.91005    687.13333333]    	[ 0.05869055 49.14212947]      	[  0.685 495.   ]  	[  0.97 825.  ]    
279	172   	[  0.90666667 683.25      ]    	[ 0.06468299 49.20556371]      	[  0.665 520.   ]  	[  0.97 830.  ]    
280	167   	[  0.90781667 680.01666667]    	[ 0.06007481 45.68460414]      	[  0.725 510.   ]  	[  0.97 810.  ]    
281	158   	[  0.9102     675.61666667]    	[ 0.05994826 47.87173546]      	[  0.72 430.  ]    	[  0.97 810.  ]    
282	168   	[  0.90683333 675.08333333]    	[ 0.06359485 46.72161943]      	[  0.69 500.  ]    	[  0.97 795.  ]    
283	167   	[  0.9062 677.6   ]            	[ 0.06664378 45.61330215]      	[  0.605 505.   ]  	[  0.97 800.  ]    
284	184   	[  0.90311667 676.        ]    	[ 0.06927147 48.87398763]      	[  0.595 485.   ]  	[  0.97 815.  ]    
285	181   	[  0.90433333 677.86666667]    	[ 0.06896174 49.23530802]      	[  0.665 510.   ]  	[  0.97 820.  ]    
286	180   	[  0.9033 675.55  ]            	[ 0.06796403 51.98987882]      	[  0.65 490.  ]    	[  0.97 845.  ]    
287	167   	[  0.90915    676.43333333]    	[ 0.06175377 50.09436651]      	[  0.695 490.   ]  	[  0.97 835.  ]    
288	163   	[  0.91081667 677.96666667]    	[ 0.06349344 42.78082385]      	[  0.665 555.   ]  	[  0.97 800.  ]    
289	174   	[  0.91675 677.     ]          	[ 0.05899594 42.37334068]      	[  0.71 495.  ]    	[  0.97 770.  ]    
290	188   	[  0.91013333 670.5       ]    	[ 0.0616156  46.68065267]      	[  0.66 520.  ]    	[  0.97 775.  ]    
291	156   	[  0.9125     670.01666667]    	[ 0.05992287 39.77959765]      	[  0.67 530.  ]    	[  0.97 780.  ]    
292	179   	[  0.91048333 663.46666667]    	[ 0.06548804 44.47263828]      	[  0.66 510.  ]    	[  0.97 820.  ]    
293	188   	[  0.91156667 665.81666667]    	[ 0.06424209 45.5987908 ]      	[  0.71 485.  ]    	[  0.97 820.  ]    
294	178   	[  0.91141667 666.5       ]    	[ 0.05857255 45.3936486 ]      	[  0.68 515.  ]    	[  0.97 785.  ]    
295	158   	[  0.90766667 664.66666667]    	[ 0.0598976  45.98973315]      	[  0.705 500.   ]  	[  0.97 785.  ]    
296	187   	[  0.9103 665.25  ]            	[ 0.06214024 44.66938735]      	[  0.7 485. ]      	[  0.97 800.  ]    
297	182   	[  0.90446667 667.05      ]    	[ 0.06244503 45.78989153]      	[  0.715 490.   ]  	[  0.97 800.  ]    
298	160   	[  0.90681667 667.83333333]    	[ 0.0609162  43.13512361]      	[  0.705 475.   ]  	[  0.97 815.  ]    
299	176   	[  0.90255 666.5    ]          	[ 0.06499036 48.00954766]      	[  0.59 515.  ]    	[  0.97 810.  ]    
300	164   	[  0.90463333 671.83333333]    	[ 0.05953737 41.53679761]      	[  0.73 555.  ]    	[  0.97 810.  ]    
301	180   	[  0.90545 667.15   ]          	[ 0.06147802 47.18185562]      	[  0.705 495.   ]  	[  0.975 810.   ]  
302	186   	[  0.9063 667.35  ]            	[ 0.0658494  46.73928576]      	[  0.725 470.   ]  	[  0.975 810.   ]  
303	176   	[  0.9081 667.5   ]            	[ 0.05991152 49.59586676]      	[  0.68 500.  ]    	[  0.975 830.   ]  
304	160   	[  0.90863333 669.86666667]    	[ 0.06509838 46.29055579]      	[  0.67 515.  ]    	[  0.975 835.   ]  
305	177   	[  0.90355    667.86666667]    	[ 0.06593543 44.56772624]      	[  0.555 495.   ]  	[  0.975 800.   ]  
306	185   	[  0.9082     674.83333333]    	[ 0.05795337 46.142593  ]      	[  0.73 520.  ]    	[  0.975 800.   ]  
307	167   	[  0.9099     671.76666667]    	[ 0.06151685 45.77894955]      	[  0.675 485.   ]  	[  0.97 800.  ]    
308	178   	[  0.91496667 673.15      ]    	[ 0.05957487 43.88615006]      	[  0.71 535.  ]    	[  0.975 810.   ]  
309	171   	[  0.90846667 665.8       ]    	[ 0.06583046 48.14415852]      	[  0.68 455.  ]    	[  0.97 810.  ]    
310	174   	[  0.91185 667.5    ]          	[ 0.05785609 45.29808679]      	[  0.73 500.  ]    	[  0.97 780.  ]    
311	180   	[  0.9084     665.43333333]    	[ 0.06311582 46.96962375]      	[  0.615 540.   ]  	[  0.97 885.  ]    
312	159   	[  0.90953333 664.15      ]    	[ 0.06405687 48.60412362]      	[  0.675 460.   ]  	[  0.97 795.  ]    
313	164   	[  0.91783333 662.76666667]    	[ 0.058355   45.71665148]      	[  0.725 490.   ]  	[  0.97 800.  ]    
314	174   	[  0.9095 658.15  ]            	[ 0.06114123 48.46814246]      	[  0.725 495.   ]  	[  0.97 805.  ]    
315	170   	[  0.91066667 665.03333333]    	[ 0.0615932  50.40666843]      	[  0.66 475.  ]    	[  0.97 810.  ]    
316	159   	[  0.90661667 663.25      ]    	[ 0.06439309 45.0890323 ]      	[  0.705 550.   ]  	[  0.97 815.  ]    
317	178   	[  0.90898333 661.41666667]    	[ 0.06197755 42.79107838]      	[  0.72 500.  ]    	[  0.97 805.  ]    
318	147   	[  0.91016667 660.93333333]    	[ 0.06187196 44.90132391]      	[  0.675 505.   ]  	[  0.97 855.  ]    
319	157   	[  0.91261667 661.45      ]    	[ 0.0645154  43.11590001]      	[  0.69 520.  ]    	[  0.97 855.  ]    
320	172   	[  0.90231667 657.98333333]    	[ 0.0701787  44.86293632]      	[  0.695 490.   ]  	[  0.97 830.  ]    
321	191   	[  0.90228333 658.06666667]    	[ 0.06698783 44.77084865]      	[  0.63 495.  ]    	[  0.97 785.  ]    
322	173   	[  0.90461667 654.56666667]    	[ 0.06498284 48.86695089]      	[  0.62 480.  ]    	[  0.97 785.  ]    
323	177   	[  0.90413333 657.96666667]    	[ 0.06270632 43.57406211]      	[  0.665 510.   ]  	[  0.97 790.  ]    
324	172   	[  0.90513333 657.1       ]    	[ 0.0634099  41.20384286]      	[  0.67 475.  ]    	[  0.97 795.  ]    
325	181   	[  0.89788333 652.51666667]    	[ 0.06592372 47.59989204]      	[  0.66 510.  ]    	[  0.975 835.   ]  
326	173   	[  0.90556667 656.28333333]    	[ 0.05872829 44.59562447]      	[  0.705 505.   ]  	[  0.975 835.   ]  
327	185   	[  0.89913333 660.78333333]    	[ 0.06490184 48.42832906]      	[  0.665 480.   ]  	[  0.975 845.   ]  
328	181   	[  0.90115    662.68333333]    	[ 0.06153531 50.64961062]      	[  0.715 515.   ]  	[  0.975 845.   ]  
329	179   	[  0.90253333 660.81666667]    	[ 0.06501986 48.73311388]      	[  0.675 500.   ]  	[  0.975 810.   ]  
330	169   	[  0.90505    663.01666667]    	[ 0.06388986 46.0541318 ]      	[  0.715 515.   ]  	[  0.975 855.   ]  
331	160   	[  0.91103333 657.48333333]    	[ 0.06460469 44.58231775]      	[  0.63 500.  ]    	[  0.975 790.   ]  
332	166   	[  0.91105    653.81666667]    	[ 0.06013718 46.68886079]      	[  0.68 480.  ]    	[  0.975 825.   ]  
333	169   	[  0.90793333 655.71666667]    	[ 0.06479117 47.1900737 ]      	[  0.625 525.   ]  	[  0.975 805.   ]  
334	168   	[  0.90518333 655.91666667]    	[ 0.06376166 46.3940699 ]      	[  0.63 495.  ]    	[  0.975 790.   ]  
335	178   	[  0.90348333 653.61666667]    	[ 0.06534995 45.23276529]      	[  0.66 510.  ]    	[  0.975 785.   ]  
336	165   	[  0.90333333 655.08333333]    	[ 0.06752818 44.00654939]      	[  0.605 525.   ]  	[  0.975 805.   ]  
337	156   	[  0.91088333 654.96666667]    	[ 0.05963754 44.03974215]      	[  0.725 520.   ]  	[  0.975 805.   ]  
338	170   	[  0.90946667 653.86666667]    	[ 0.0626236 42.8841333]        	[  0.72 515.  ]    	[  0.975 805.   ]  
339	207   	[  0.90053333 643.98333333]    	[ 0.06736504 47.04483382]      	[  0.69 480.  ]    	[  0.975 770.   ]  
340	190   	[  0.8996     642.66666667]    	[ 0.06663963 46.17418711]      	[  0.675 510.   ]  	[  0.975 770.   ]  
341	191   	[  0.90143333 643.5       ]    	[ 0.06507518 48.82024853]      	[  0.61 465.  ]    	[  0.975 780.   ]  
342	185   	[  0.90326667 648.25      ]    	[ 0.06249263 43.21096504]      	[  0.705 510.   ]  	[  0.975 790.   ]  
343	160   	[  0.90765    649.71666667]    	[ 0.05979321 45.54854248]      	[  0.69 495.  ]    	[  0.975 775.   ]  
344	174   	[  0.90303333 649.95      ]    	[ 0.0637087 42.7209648]        	[  0.69 420.  ]    	[  0.975 770.   ]  
345	155   	[  0.90745 646.     ]          	[ 0.06311826 40.79419893]      	[  0.69 490.  ]    	[  0.975 765.   ]  
346	174   	[  0.9158     651.48333333]    	[ 0.05831118 39.13076014]      	[  0.705 530.   ]  	[  0.975 795.   ]  
347	186   	[  0.91051667 651.01666667]    	[ 0.06081653 39.87542755]      	[  0.69 520.  ]    	[  0.975 760.   ]  
348	168   	[  0.90921667 650.7       ]    	[ 0.06450816 42.63031003]      	[  0.7 500. ]      	[  0.975 825.   ]  
349	167   	[  0.90781667 650.63333333]    	[ 0.06606423 41.88395344]      	[  0.62 510.  ]    	[  0.975 830.   ]  
350	180   	[  0.9057     649.88333333]    	[ 0.06559098 43.52282607]      	[  0.65 535.  ]    	[  0.975 770.   ]  
351	195   	[  0.90446667 651.11666667]    	[ 0.06520518 47.82436327]      	[  0.68 500.  ]    	[  0.975 815.   ]  
352	176   	[  0.90805    650.26666667]    	[ 0.06363789 49.98595358]      	[  0.685 455.   ]  	[  0.975 815.   ]  
353	167   	[  0.89963333 647.5       ]    	[ 0.07238922 49.5269287 ]      	[  0.595 495.   ]  	[  0.975 825.   ]  
354	168   	[  0.90786667 649.76666667]    	[ 0.06352649 47.7086179 ]      	[  0.7 495. ]      	[  0.975 825.   ]  
355	176   	[  0.91211667 651.68333333]    	[ 0.06343582 49.41406401]      	[  0.695 465.   ]  	[  0.975 825.   ]  
356	160   	[  0.912      650.41666667]    	[ 0.06102322 43.15564531]      	[  0.695 515.   ]  	[  0.975 825.   ]  
357	162   	[  0.91536667 646.05      ]    	[ 0.06280551 41.52686881]      	[  0.685 510.   ]  	[  0.975 825.   ]  
358	173   	[  0.91371667 645.41666667]    	[ 0.06410099 43.20196433]      	[  0.69 505.  ]    	[  0.975 770.   ]  
359	167   	[  0.91463333 648.53333333]    	[ 0.05969672 43.14914702]      	[  0.71 505.  ]    	[  0.975 770.   ]  
360	173   	[  0.90735    647.63333333]    	[ 0.06607744 46.60721213]      	[  0.715 510.   ]  	[  0.975 760.   ]  
361	175   	[  0.91338333 650.46666667]    	[ 0.06112122 45.74875833]      	[  0.715 520.   ]  	[  0.975 825.   ]  
362	174   	[  0.90675    646.43333333]    	[ 0.06700513 43.74485367]      	[  0.695 495.   ]  	[  0.975 780.   ]  
363	191   	[  0.90173333 648.95      ]    	[ 0.07091776 45.60680687]      	[  0.635 495.   ]  	[  0.975 770.   ]  
364	166   	[  0.91031667 654.4       ]    	[ 0.0668118  39.51759102]      	[  0.69 485.  ]    	[  0.975 770.   ]  
365	186   	[  0.91351667 654.13333333]    	[ 0.06632659 40.91554988]      	[  0.705 480.   ]  	[  0.975 775.   ]  
366	164   	[  0.90936667 649.71666667]    	[ 0.0677638  45.01299504]      	[  0.6 455. ]      	[  0.975 765.   ]  
367	179   	[  0.91283333 649.61666667]    	[ 0.06557799 45.5496402 ]      	[  0.655 475.   ]  	[  0.975 765.   ]  
368	177   	[  0.91281667 652.76666667]    	[ 0.06320324 44.71217831]      	[  0.685 515.   ]  	[  0.975 820.   ]  
369	174   	[  0.91033333 650.93333333]    	[ 0.06541194 45.01809513]      	[  0.665 510.   ]  	[  0.975 775.   ]  
370	184   	[  0.90746667 647.66666667]    	[ 0.06369392 49.03456831]      	[  0.7 480. ]      	[  0.975 790.   ]  
371	171   	[  0.90325    644.03333333]    	[ 0.06709337 47.06094158]      	[  0.655 485.   ]  	[  0.975 835.   ]  
372	182   	[  0.89825    649.11666667]    	[ 0.06844478 44.75082557]      	[  0.695 470.   ]  	[  0.975 770.   ]  
373	174   	[  0.89863333 651.        ]    	[ 0.06540616 47.35856135]      	[  0.695 490.   ]  	[  0.975 775.   ]  
374	168   	[  0.90121667 652.26666667]    	[ 0.06519537 48.94243785]      	[  0.665 490.   ]  	[  0.975 785.   ]  
375	163   	[  0.90625 649.85   ]          	[ 0.06014167 47.86676822]      	[  0.685 470.   ]  	[  0.975 785.   ]  
376	170   	[  0.90071667 648.56666667]    	[ 0.06300849 47.35974615]      	[  0.645 500.   ]  	[  0.975 800.   ]  
377	174   	[  0.90095 648.25   ]          	[ 0.06288493 44.96688596]      	[  0.705 505.   ]  	[  0.975 815.   ]  
378	181   	[  0.90073333 646.3       ]    	[ 0.0696955  49.23897508]      	[  0.675 510.   ]  	[  0.975 810.   ]  
379	171   	[  0.90955    645.73333333]    	[ 0.06475889 46.42336576]      	[  0.66 445.  ]    	[  0.975 810.   ]  
380	188   	[  0.90856667 643.36666667]    	[ 0.06405294 45.08509239]      	[  0.7 515. ]      	[  0.975 810.   ]  
381	176   	[  0.9046     643.41666667]    	[ 0.0654956  40.69901377]      	[  0.705 525.   ]  	[  0.975 810.   ]  
382	179   	[  0.90883333 643.8       ]    	[ 0.06411036 46.82122026]      	[  0.73 495.  ]    	[  0.975 810.   ]  
383	170   	[  0.90801667 646.03333333]    	[ 0.06450051 47.46506318]      	[  0.625 470.   ]  	[  0.975 820.   ]  
384	167   	[  0.91065    645.53333333]    	[ 0.06103819 41.11628496]      	[  0.745 520.   ]  	[  0.98 760.  ]    
385	190   	[  0.90975    642.56666667]    	[ 0.06274436 47.65583793]      	[  0.675 460.   ]  	[  0.98 790.  ]    
386	176   	[  0.91143333 645.4       ]    	[ 0.06687136 42.97099797]      	[  0.69 485.  ]    	[  0.98 805.  ]    
387	172   	[  0.90995    640.93333333]    	[ 0.06717575 43.32584551]      	[  0.665 495.   ]  	[  0.98 765.  ]    
388	156   	[  0.9106 642.9   ]            	[ 0.06648789 44.44385972]      	[  0.665 410.   ]  	[  0.98 790.  ]    
389	177   	[  0.90631667 638.61666667]    	[ 0.0704948  42.46963294]      	[  0.69 485.  ]    	[  0.98 765.  ]    
390	153   	[  0.91151667 642.66666667]    	[ 0.06758414 41.98280071]      	[  0.71 455.  ]    	[  0.98 765.  ]    
391	188   	[  0.91261667 640.98333333]    	[ 0.06433172 40.78132402]      	[  0.705 485.   ]  	[  0.98 760.  ]    
392	166   	[  0.9098     638.18333333]    	[ 0.0677763  43.60752675]      	[  0.645 450.   ]  	[  0.98 770.  ]    
393	179   	[  0.91188333 641.61666667]    	[ 0.06777563 42.65524261]      	[  0.71 490.  ]    	[  0.98 765.  ]    
394	181   	[  0.9074     643.91666667]    	[ 0.06838913 44.46807532]      	[  0.63 425.  ]    	[  0.98 785.  ]    
395	187   	[  0.90176667 639.71666667]    	[ 0.06999794 43.40126406]      	[  0.685 510.   ]  	[  0.98 745.  ]    
396	167   	[  0.91066667 637.91666667]    	[ 0.06972127 44.0387298 ]      	[  0.625 450.   ]  	[  0.98 765.  ]    
397	177   	[  0.90816667 638.81666667]    	[ 0.06736076 43.24175901]      	[  0.695 510.   ]  	[  0.98 805.  ]    
398	187   	[  0.90141667 644.53333333]    	[ 0.07029042 45.86337197]      	[  0.695 490.   ]  	[  0.98 815.  ]    
399	182   	[  0.89613333 641.58333333]    	[ 0.07470642 46.16538807]      	[  0.665 460.   ]  	[  0.98 805.  ]    
400	190   	[  0.89946667 643.01666667]    	[ 0.07091814 46.60275087]      	[  0.645 495.   ]  	[  0.98 785.  ]    
401	185   	[  0.89418333 644.46666667]    	[ 0.07578863 46.41891377]      	[  0.645 505.   ]  	[  0.98 860.  ]    
402	173   	[  0.89713333 648.61666667]    	[ 0.07076686 47.76682659]      	[  0.65 505.  ]    	[  0.98 830.  ]    
403	170   	[  0.90933333 653.46666667]    	[ 0.06220441 44.8848403 ]      	[  0.705 525.   ]  	[  0.98 765.  ]    
404	181   	[  0.91016667 654.81666667]    	[ 0.06544187 43.88298519]      	[  0.645 450.   ]  	[  0.98 775.  ]    
405	181   	[  0.90625 651.7    ]          	[ 0.06849103 48.27639175]      	[  0.63 480.  ]    	[  0.98 800.  ]    
406	189   	[  0.90408333 653.03333333]    	[ 0.07096062 46.72578398]      	[  0.64 525.  ]    	[  0.98 800.  ]    
407	173   	[  0.90655    652.88333333]    	[ 0.06902305 51.54709551]      	[  0.68 465.  ]    	[  0.98 805.  ]    
408	160   	[  0.91343333 652.21666667]    	[ 0.06914631 53.28229589]      	[  0.71 455.  ]    	[  0.98 800.  ]    
409	178   	[  0.90813333 649.73333333]    	[ 0.06953188 50.36131672]      	[  0.695 465.   ]  	[  0.98 800.  ]    
410	163   	[  0.90778333 649.8       ]    	[ 0.06499105 50.0079327 ]      	[  0.735 465.   ]  	[  0.98 780.  ]    
411	182   	[  0.90281667 650.78333333]    	[ 0.06963943 49.33865681]      	[  0.655 460.   ]  	[  0.98 775.  ]    
412	165   	[  0.90595    646.23333333]    	[ 0.07031605 48.328517  ]      	[  0.65 485.  ]    	[  0.98 775.  ]    
413	180   	[  0.90991667 641.36666667]    	[ 0.06643475 47.30185573]      	[  0.71 485.  ]    	[  0.98 765.  ]    
414	177   	[  0.91853333 643.88333333]    	[ 0.06365544 37.81758483]      	[  0.705 485.   ]  	[  0.98 745.  ]    
415	160   	[  0.91623333 642.13333333]    	[ 0.06394512 40.30031707]      	[  0.685 500.   ]  	[  0.98 760.  ]    
416	167   	[  0.91425    639.76666667]    	[ 0.06866358 39.57624147]      	[  0.635 455.   ]  	[  0.98 760.  ]    
417	182   	[  0.91616667 638.55      ]    	[ 0.06789309 42.65537285]      	[  0.68 495.  ]    	[  0.98 765.  ]    
418	184   	[  0.91245    640.41666667]    	[ 0.06962218 41.95525063]      	[  0.6 485. ]      	[  0.98 780.  ]    
419	158   	[  0.91275    641.73333333]    	[ 0.06790327 43.94688714]      	[  0.675 495.   ]  	[  0.98 835.  ]    
420	175   	[  0.91245    643.46666667]    	[ 0.06731949 45.73454809]      	[  0.71 505.  ]    	[  0.98 810.  ]    
421	173   	[  0.91406667 640.45      ]    	[ 0.0681454  46.17770927]      	[  0.66 495.  ]    	[  0.98 810.  ]    
422	183   	[  0.9067     635.68333333]    	[ 0.07177704 45.73419278]      	[  0.695 495.   ]  	[  0.98 815.  ]    
