
################################ SETTINGS ###################################
#RUN ID: 1529519249.0195754
#Genetic Algorithm Parameters:
#Max gen: 		300
#Migrations Interval: 	50	with 2% migrating individual
#N Islands:	6 with pop size:	100
#INDPB:	0.07
#Tournament size:	 5
#CXPB:	0.5	MUTPB:	0.2
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 880.0)AP:71
x:239.09723143359116, y:468.9693255760841, type:0, wire:27
x:306.26731832992346, y:-288.9657769878727, type:0, wire:10
x:-168.38258724553316, y:36.54962650172193, type:0, wire:74
x:282.4531442485874, y:-492.26153492487276, type:0, wire:10
x:-70.80120859075896, y:442.9077781879298, type:0, wire:27
x:-443.3505761332526, y:-153.55926242690273, type:0, wire:57
x:-388.0256873955726, y:-281.34753072539274, type:1, wire:92
x:-473.60352486209865, y:-462.4017459457168, type:0, wire:3
x:194.54856980916824, y:349.49892211653207, type:1, wire:75
x:182.48018590361494, y:131.0795893385229, type:1, wire:52
x:-46.59616800445224, y:162.6824418431303, type:1, wire:19
x:297.15599325397716, y:-87.06833649898363, type:1, wire:72
x:-199.61749879633126, y:214.69208099609529, type:0, wire:35
x:105.80174841630054, y:309.80617969556454, type:0, wire:91
x:112.57479920707306, y:184.7235913418562, type:0, wire:29
x:-328.33843857101454, y:-38.840798330877874, type:0, wire:96
x:391.96521475024815, y:399.4488562188309, type:0, wire:72
x:70.91829558823412, y:244.90477972108948, type:0, wire:54
x:193.04732972726447, y:-135.4897865735466, type:1, wire:74
x:-221.33274207554786, y:-147.0172781733699, type:1, wire:64
x:-174.91688934590445, y:-30.66226097443392, type:0, wire:27
x:-239.729793925231, y:-290.1859182362361, type:1, wire:76
x:-456.11506475708774, y:161.10648186685097, type:1, wire:36
x:-433.5282089041716, y:302.78113078271446, type:1, wire:67
x:302.10058715147954, y:-190.25852886595965, type:1, wire:54
x:491.70237321509103, y:187.92316675647646, type:1, wire:55
x:197.0549365992853, y:18.81866998506274, type:1, wire:97
x:441.68330394537327, y:-427.0512856794279, type:0, wire:84
x:-233.93192176690695, y:272.93400335782485, type:1, wire:3
x:-466.0708018139175, y:1.5553043464607388, type:0, wire:97
x:-359.7704079726392, y:424.98618772213104, type:0, wire:91
x:330.7144545597694, y:291.44841847726, type:1, wire:41
x:73.57719447492897, y:19.743728018620267, type:1, wire:68
x:13.828736593780867, y:-171.9830271811966, type:0, wire:101
x:-213.12861341107146, y:-34.61994416797802, type:0, wire:61
x:394.7392729272144, y:-177.4823007704249, type:1, wire:95
x:413.41606379326345, y:198.17074514579662, type:0, wire:46
x:-233.65891704446028, y:-109.43141096069019, type:0, wire:31
x:-70.45931616546761, y:408.1444485900685, type:0, wire:76
IND:8
#fitness: 	(0.99, 665.0)AP:55
x:126.71642344320475, y:-25.732074589799367, type:0, wire:33
x:378.02196124916367, y:25.215755705994013, type:0, wire:39
x:-303.6522673903347, y:-273.5935468974404, type:1, wire:33
x:44.87211166672523, y:161.97646481707585, type:1, wire:54
x:-334.996997039543, y:-179.27824777689816, type:1, wire:1
x:478.24366584065956, y:496.74960120484434, type:0, wire:52
x:259.8584771949898, y:39.37384587962003, type:0, wire:46
x:275.18514458912756, y:-434.39706711561223, type:0, wire:3
x:441.4795182719329, y:-309.16996524522773, type:0, wire:30
x:48.271977364644044, y:-404.8700807077571, type:1, wire:64
x:259.8309541109326, y:-260.51481697046046, type:1, wire:23
x:-377.04646423764177, y:-5.87494133186734, type:0, wire:19
x:-24.17722410293996, y:109.72958913674489, type:1, wire:49
x:-283.46205785972177, y:424.41271313573316, type:0, wire:17
x:-120.06956470227335, y:24.599709261427062, type:0, wire:31
x:24.108933410068268, y:454.7872849300346, type:0, wire:91
x:239.09723143359116, y:468.9693255760841, type:0, wire:27
x:306.26731832992346, y:-288.9657769878727, type:0, wire:10
x:-168.38258724553316, y:36.54962650172193, type:0, wire:74
x:282.4531442485874, y:-492.26153492487276, type:0, wire:10
x:-70.80120859075896, y:442.9077781879298, type:0, wire:27
x:-443.3505761332526, y:-153.55926242690273, type:0, wire:57
x:-388.0256873955726, y:-281.34753072539274, type:1, wire:92
x:-473.60352486209865, y:-462.4017459457168, type:0, wire:3
x:194.54856980916824, y:349.49892211653207, type:1, wire:75
x:182.48018590361494, y:131.0795893385229, type:1, wire:86
x:-46.59616800445224, y:162.6824418431303, type:1, wire:19
x:297.15599325397716, y:-87.06833649898363, type:1, wire:72
x:-199.61749879633126, y:214.69208099609529, type:0, wire:35
x:105.80174841630054, y:309.80617969556454, type:0, wire:91
x:112.57479920707306, y:184.7235913418562, type:0, wire:29
x:-328.33843857101454, y:-38.840798330877874, type:0, wire:96
x:391.96521475024815, y:399.4488562188309, type:0, wire:72
x:66.74848916798425, y:244.90477972108948, type:0, wire:54
x:193.04732972726447, y:-135.4897865735466, type:1, wire:74
x:-221.33274207554786, y:-147.0172781733699, type:1, wire:64
x:-174.91688934590445, y:-30.66226097443392, type:0, wire:27
x:-242.75684948114974, y:-290.1859182362361, type:1, wire:76
x:-464.53132995225417, y:161.10648186685097, type:1, wire:36
x:-433.5282089041716, y:302.78113078271446, type:1, wire:67
x:302.10058715147954, y:-190.25852886595965, type:1, wire:54
x:491.70237321509103, y:187.92316675647646, type:1, wire:55
x:191.71486356223602, y:18.81866998506274, type:1, wire:97
x:441.68330394537327, y:-427.0512856794279, type:0, wire:84
x:-233.93192176690695, y:272.93400335782485, type:1, wire:3
x:-472.2050500633122, y:1.5553043464607388, type:0, wire:97
x:-359.7704079726392, y:424.98618772213104, type:0, wire:91
x:330.7144545597694, y:291.44841847726, type:1, wire:41
x:73.57719447492897, y:19.743728018620267, type:1, wire:68
x:13.828736593780867, y:-178.98763298373768, type:0, wire:101
x:-213.12861341107146, y:-34.61994416797802, type:0, wire:61
x:394.7392729272144, y:-177.4823007704249, type:1, wire:95
x:413.41606379326345, y:195.00798574015053, type:0, wire:46
x:-233.65891704446028, y:-109.43141096069019, type:0, wire:31
x:-70.45931616546761, y:408.1444485900685, type:0, wire:32
IND:9
#fitness: 	(0.99, 665.0)AP:55
x:126.71642344320475, y:-25.732074589799367, type:0, wire:33
x:378.02196124916367, y:25.215755705994013, type:0, wire:39
x:-303.6522673903347, y:-273.5935468974404, type:1, wire:33
x:44.87211166672523, y:161.97646481707585, type:1, wire:54
x:-334.996997039543, y:-179.27824777689816, type:1, wire:1
x:478.24366584065956, y:496.74960120484434, type:0, wire:52
x:259.8584771949898, y:39.37384587962003, type:0, wire:46
x:275.18514458912756, y:-434.39706711561223, type:0, wire:3
x:441.4795182719329, y:-309.16996524522773, type:0, wire:30
x:48.271977364644044, y:-404.8700807077571, type:1, wire:64
x:259.8309541109326, y:-260.51481697046046, type:1, wire:23
x:-377.04646423764177, y:-5.87494133186734, type:0, wire:19
x:-24.17722410293996, y:109.72958913674489, type:1, wire:49
x:-283.46205785972177, y:424.41271313573316, type:0, wire:17
x:-120.06956470227335, y:24.599709261427062, type:0, wire:31
x:26.968212345537257, y:454.7872849300346, type:0, wire:91
x:239.09723143359116, y:468.9693255760841, type:0, wire:27
x:306.26731832992346, y:-288.9657769878727, type:0, wire:10
x:-168.38258724553316, y:36.54962650172193, type:0, wire:74
x:282.4531442485874, y:-492.26153492487276, type:0, wire:10
x:-70.80120859075896, y:442.9077781879298, type:0, wire:27
x:-443.3505761332526, y:-153.55926242690273, type:0, wire:57
x:-388.0256873955726, y:-281.34753072539274, type:1, wire:92
x:-473.60352486209865, y:-462.4017459457168, type:0, wire:3
x:194.54856980916824, y:349.49892211653207, type:1, wire:75
x:182.48018590361494, y:131.0795893385229, type:1, wire:52
x:-46.59616800445224, y:162.6824418431303, type:1, wire:19
x:297.15599325397716, y:-87.06833649898363, type:1, wire:72
x:-199.61749879633126, y:214.69208099609529, type:0, wire:35
x:105.80174841630054, y:309.80617969556454, type:0, wire:91
x:112.57479920707306, y:184.7235913418562, type:0, wire:29
x:-328.33843857101454, y:-38.840798330877874, type:0, wire:96
x:391.96521475024815, y:399.4488562188309, type:0, wire:72
x:66.74848916798425, y:244.90477972108948, type:0, wire:54
x:193.04732972726447, y:-135.4897865735466, type:1, wire:74
x:-221.33274207554786, y:-147.0172781733699, type:1, wire:64
x:-174.91688934590445, y:-30.66226097443392, type:0, wire:27
x:-242.75684948114974, y:-290.1859182362361, type:1, wire:76
x:-464.53132995225417, y:161.10648186685097, type:1, wire:36
x:-433.5282089041716, y:302.78113078271446, type:1, wire:67
x:302.10058715147954, y:-190.25852886595965, type:1, wire:54
x:491.70237321509103, y:187.92316675647646, type:1, wire:55
x:191.71486356223602, y:18.81866998506274, type:1, wire:97
x:441.68330394537327, y:-427.0512856794279, type:0, wire:84
x:-233.93192176690695, y:272.93400335782485, type:1, wire:3
x:-472.2050500633122, y:1.5553043464607388, type:0, wire:97
x:-359.7704079726392, y:424.98618772213104, type:0, wire:91
x:330.7144545597694, y:291.44841847726, type:1, wire:41
x:73.57719447492897, y:19.743728018620267, type:1, wire:68
x:13.828736593780867, y:-178.98763298373768, type:0, wire:101
x:-213.12861341107146, y:-34.61994416797802, type:0, wire:61
x:394.7392729272144, y:-177.4823007704249, type:1, wire:95
x:413.41606379326345, y:195.00798574015053, type:0, wire:46
x:-233.65891704446028, y:-109.43141096069019, type:0, wire:31
x:-70.45931616546761, y:408.1444485900685, type:0, wire:32
