
################################ SETTINGS ###################################
#RUN ID: 1529761287.9294584
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	1 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.5	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.985, 720.0, 28098.64889049575)
AP:100
x:-193.17395157776087, y:-230.224208404633, type:0, wire:-73
x:-278.85034147776366, y:-231.51454004721177, type:0, wire:28
x:47.44103097871237, y:-386.901881540531, type:1, wire:24
x:131.73991110495942, y:7.815219817733415, type:1, wire:90
x:-41.68007343321042, y:364.1104737148723, type:1, wire:59
x:-315.1013141242786, y:-41.45346331191814, type:1, wire:-58
x:68.51725265084964, y:93.59339920681116, type:1, wire:101
x:187.0451608317077, y:-51.41975766836355, type:0, wire:-14
x:-107.24631592288614, y:-151.4158275670635, type:1, wire:-74
x:57.69342373828165, y:151.37017614084826, type:1, wire:20
x:355.5191018653788, y:246.81579142131784, type:1, wire:8
x:-226.22696834907026, y:-445.68987810534264, type:0, wire:-75
x:-263.414241694375, y:167.04877368213874, type:1, wire:24
x:-294.5422261527681, y:-162.69656803818185, type:1, wire:-64
x:373.0077270947837, y:-385.3032219718001, type:1, wire:-71
x:145.69305484794538, y:161.76125834987917, type:0, wire:75
x:-246.06694735091355, y:-73.00227028211312, type:1, wire:-50
x:-123.98872271708862, y:360.65216245637674, type:0, wire:33
x:227.14053408092377, y:442.3016038609772, type:1, wire:91
IND:9
#fitness: 	(0.985, 735.0, 27751.77495155469)
AP:100
x:-293.06487166922807, y:-131.84233996126957, type:1, wire:87
x:230.1290814863113, y:156.8128711467166, type:1, wire:47
x:36.92942931509485, y:-37.99799550855037, type:1, wire:0
x:-413.1055481235978, y:283.7833297586681, type:0, wire:87
x:-255.83009333093847, y:-473.2091561416252, type:1, wire:75
x:285.14164558179715, y:-377.3648119396526, type:1, wire:61
x:-428.6888723610727, y:87.41627375776108, type:1, wire:79
x:-203.44730449276184, y:-211.41266297207923, type:0, wire:8
x:-224.03120862628663, y:-287.2199910821173, type:1, wire:20
x:234.43978248603665, y:-101.97034137501011, type:1, wire:25
x:-31.802350793950414, y:289.0645320070718, type:0, wire:23
x:-204.7529465409756, y:283.3877629000903, type:1, wire:7
x:-1.71687605795294, y:89.27740129414428, type:0, wire:84
x:107.41742137236741, y:236.63273589171305, type:1, wire:24
x:-176.84987734235816, y:-240.7385032700951, type:0, wire:87
x:456.4747021175064, y:119.80287688949588, type:0, wire:8
x:290.79587764197174, y:-419.30212431321416, type:1, wire:-41
x:41.82568880756149, y:-138.00896025633645, type:1, wire:-18
x:455.46937721466054, y:133.84197691233842, type:1, wire:-30
x:-312.28809365808354, y:-281.25059470203263, type:0, wire:8
x:87.1963227880533, y:-460.4690062648974, type:0, wire:13
x:402.0154852789433, y:32.78677987886989, type:0, wire:-92
x:311.15370302772925, y:-324.2190256904126, type:1, wire:-72
x:96.85975558510982, y:101.42784015029757, type:0, wire:-71
x:-184.58245460265834, y:69.36938415843272, type:0, wire:59
x:-401.45224671001506, y:-169.0216233378637, type:1, wire:20
x:-69.90375099028924, y:-308.93855081072553, type:1, wire:-6
x:-41.074528677708976, y:63.65343835968268, type:0, wire:-5
x:276.0268815270626, y:276.51804804358807, type:1, wire:35
x:99.01747596006355, y:433.8579611448721, type:1, wire:-66
x:79.35846951835525, y:-462.0377295319007, type:0, wire:-69
x:-283.1220602249653, y:-398.62720910323253, type:0, wire:42
x:82.28647763400122, y:442.6415267941432, type:0, wire:70
x:473.48535307101713, y:-81.94443172672054, type:1, wire:-9
x:-385.8982278536188, y:214.9117304556099, type:0, wire:-8
x:417.8351703428231, y:452.5113252522981, type:0, wire:83
x:-210.9152357883197, y:-492.7272166614118, type:1, wire:-28
x:-426.6934441301974, y:-432.94326611219094, type:1, wire:15
x:-114.72313958533438, y:-409.17703522296114, type:0, wire:84
x:204.70893009865793, y:-456.944245651603, type:0, wire:87
x:-27.9403198241691, y:237.669746236027, type:1, wire:24
x:-84.15219393703339, y:-71.73017452654796, type:1, wire:-17
x:-314.6375251692289, y:98.08443962076467, type:1, wire:-41
x:-249.80370039784, y:39.24082390438041, type:1, wire:85
x:355.47018173845055, y:280.46689141312504, type:1, wire:-1
x:179.1226083148591, y:-158.8454330551252, type:0, wire:83
x:17.619069257578303, y:313.67710134322147, type:1, wire:-55
x:385.7258126845964, y:8.533602609335222, type:0, wire:67
x:-36.859585825653056, y:-483.543503143725, type:1, wire:63
x:197.0773252512043, y:-200.78060228244433, type:1, wire:67
x:255.08556831175434, y:-357.91380766991983, type:0, wire:-87
x:-369.7881842525897, y:-268.7161372456215, type:1, wire:32
x:-385.471719240717, y:475.9503229856723, type:0, wire:38
x:299.8636375756647, y:-22.404537711031033, type:1, wire:78
x:-55.57752248510545, y:22.713120937753047, type:0, wire:6
x:277.3638563241644, y:-469.5184796486568, type:1, wire:11
x:-495.9184760096702, y:350.6408933375675, type:1, wire:17
x:475.918052298279, y:-259.12559855985546, type:1, wire:48
x:-60.230153181115455, y:-440.52903525661816, type:1, wire:81
x:271.48181882378844, y:-131.1648246466902, type:1, wire:101
x:152.32581632562088, y:328.41989317708794, type:1, wire:-11
x:320.04381742076305, y:-266.6708505684274, type:0, wire:-88
x:-269.36676639308536, y:-270.3963326193677, type:0, wire:-60
x:247.83258789218166, y:23.680855265352868, type:1, wire:8
x:-452.81268484161774, y:286.75009926492044, type:0, wire:69
x:484.42415470431735, y:-283.20486938681347, type:0, wire:82
x:20.796858104768873, y:-39.69677893142781, type:1, wire:-6
x:-361.8353790886333, y:350.77966812880146, type:0, wire:101
x:268.2881639214761, y:157.11933646726195, type:1, wire:-31
x:104.2375769600763, y:78.59078639306348, type:0, wire:101
x:148.13287027584326, y:4.499508987993085, type:1, wire:49
x:220.58739561008315, y:31.288448258388478, type:1, wire:42
x:129.51535607707117, y:-86.02176494606901, type:0, wire:95
x:-157.61167501315728, y:-77.21415288435612, type:1, wire:-82
x:199.37521611557483, y:-309.36727894194786, type:1, wire:51
x:-22.62804633506922, y:-176.79088291586186, type:1, wire:20
x:-85.36291689890821, y:384.0398526020534, type:1, wire:-59
x:489.398275803877, y:-309.91898001866866, type:0, wire:-46
x:-476.7430231908642, y:-172.43088716306423, type:1, wire:-81
x:282.9821347985421, y:120.69223416953636, type:0, wire:63
x:-52.38559285233024, y:266.31871220545435, type:0, wire:77
x:-207.9326565799075, y:-230.224208404633, type:0, wire:-73
x:-278.85034147776366, y:-231.51454004721177, type:1, wire:28
x:47.44103097871237, y:-386.901881540531, type:1, wire:24
x:131.73991110495942, y:7.815219817733415, type:1, wire:90
x:-40.53840686847582, y:362.13703798693876, type:0, wire:59
x:-315.1013141242786, y:-33.55555623525136, type:1, wire:38
x:57.98235423922961, y:97.73399615686674, type:1, wire:101
x:187.0451608317077, y:-43.47824897802952, type:0, wire:62
x:-107.24631592288614, y:-151.4158275670635, type:1, wire:-70
x:57.69342373828165, y:155.01432605988555, type:0, wire:20
x:355.5191018653788, y:246.81579142131784, type:1, wire:8
x:-226.22696834907026, y:-445.68987810534264, type:0, wire:-75
x:-263.414241694375, y:167.04877368213874, type:1, wire:24
x:-291.6218496298067, y:-163.3288094015489, type:1, wire:20
x:373.0077270947837, y:-389.89651139114807, type:0, wire:-71
x:140.39851229382145, y:158.8008285228969, type:1, wire:75
x:-250.68200719350804, y:-73.00227028211312, type:0, wire:-50
x:-123.98872271708862, y:366.9677877925432, type:1, wire:10
x:227.4403271915008, y:442.3016038609772, type:0, wire:91
